275922122, ﻿2018-08-20 16:45:49, #我要换组# #我要红包# #我支持调课#, #我要换组#、#我要红包#、#我支持调课#@ ★逍遙☆
83604387, 2018-08-21 10:38:42, #我要换组# #我要红包# #我支持调课#, #我要换组#、#我要红包#、#我支持调课#同学们好！
83604387, 2018-08-21 10:39:20, #我要换组# #我要红包# #我支持调课#, #我要换组#、#我要红包#、#我支持调课#为了庆祝即将到来的新学期，一会邀请助教@雨勤未晴丶 来发布本学期软工实践的第一个作业
1419450376, 2018-08-21 10:41:32, #我要换组# #我要红包# #我支持调课#, #我要换组#、#我要红包#、#我支持调课#庆祝
1079543838, 2018-08-21 10:43:49, #我要换组# #我要红包# #我支持调课#, #我要换组#、#我要红包#、#我支持调课#庆祝
215757529, 2018-08-21 10:44:03, #我要换组# #我要红包# #我支持调课#, #我要换组#、#我要红包#、#我支持调课#@浅风 ？？？？？
83604387, 2018-08-21 10:47:22, #我要换组# #我要红包# #我支持调课#, #我要换组#、#我要红包#、#我支持调课#大家可能不太习惯开学前就布置作业不过，习惯就好！
83604387, 2018-08-21 10:48:02, #我要换组# #我要红包# #我支持调课#, #我要换组#、#我要红包#、#我支持调课#这相比整学期的内容来说，不算什么
83604387, 2018-08-21 10:50:28, #我要换组# #我要红包# #我支持调课#, #我要换组#、#我要红包#、#我支持调课#同学们互相拉一下有选实践课的同学，每次作业都计入最后成绩
2739294360, 2018-08-21 12:30:36, #我要换组# #我要红包# #我支持调课#, [图片]#我要换组#、#我要红包#、#我支持调课#
2739294360, 2018-08-21 12:30:57, #我要换组# #我要红包# #我支持调课#, #我要换组#、#我要红包#、#我支持调课#您的好友［Kally］准备上线
275922122, 2018-08-21 21:22:45, #我要换组# #我要红包# #我支持调课#, #我要换组#、#我要红包#、#我支持调课#@全体成员《构建之法》是本门#我要换组#、#我要红包#、#我支持调课#课程的教材。但因为软工实践是选修课，所以学校没有统一订教材，需要大家自己购买，纸质版的推荐购买第三版。也给大家提供其他渠道获取：1. 多看上有正版的《构建之法 第二版》电子版：http://www.duokan.com/reader/www/app.html?id=c1d2a20487094cd8a9b77fcb54abeb742. 上一届的学长学姐很多买了这本书，可以借阅
275922122, 2018-08-26 8:10:58, #我要换组# #我要红包# #我支持调课#, #我要换组#、#我要红包#、#我支持调课#@全体成员距离第一次作业截止还有9天，还有很多同学没有入群，希望认识的同学之间帮忙拉一下，或者在班群里通知一下，谢谢配合。另：为了方便点名，请已经入群的同学将群名片改为“计x-姓名”的格式
83604387, 2018-08-26 8:14:48, #我要换组# #我要红包# #我支持调课#, #我要换组#、#我要红包#、#我支持调课#请同学们配合
869535666, 2018-08-26 8:29:27, #我要换组# #我要红包# #我支持调课#, #我要换组#、#我要红包#、#我支持调课#[图片]
869535666, 2018-08-26 8:29:27, #我要换组# #我要红包# #我支持调课#, #我要换组#、#我要红包#、#我支持调课#[图片]
869535666, 2018-08-26 8:29:27, #我要换组# #我要红包# #我支持调课#, #我要换组#、#我要红包#、#我支持调课#[图片]
